precision,metric,accepted,coverage,risk,threshold
q4,exact_dsde,53,0.8833333333333333,0.32075471698113206,0.3333333333333333
q4,exact_dsde,54,0.9,0.3333333333333333,0.4
q4,exact_dsde,55,0.9166666666666666,0.34545454545454546,0.6
q4,exact_dsde,56,0.9333333333333333,0.35714285714285715,0.6
q4,exact_dsde,57,0.95,0.3684210526315789,0.6
q4,exact_dsde,58,0.9666666666666667,0.3793103448275862,0.8
q4,exact_dsde,59,0.9833333333333333,0.3898305084745763,0.8
q4,exact_dsde,60,1.0,0.4,0.8
q4,exact_sde,1,0.016666666666666666,0.0,0.0
q4,exact_sde,2,0.03333333333333333,0.0,0.0
q4,exact_sde,3,0.05,0.3333333333333333,0.0
q4,exact_sde,4,0.06666666666666667,0.25,0.0
q4,exact_sde,5,0.08333333333333333,0.2,0.0
q4,exact_sde,6,0.1,0.3333333333333333,0.0
q4,exact_sde,7,0.11666666666666667,0.2857142857142857,0.0
q4,exact_sde,8,0.13333333333333333,0.25,0.0
q4,exact_sde,9,0.15,0.2222222222222222,0.0
q4,exact_sde,10,0.16666666666666666,0.2,0.0
q4,exact_sde,11,0.18333333333333332,0.18181818181818182,0.0
q4,exact_sde,12,0.2,0.16666666666666666,0.0
q4,exact_sde,13,0.21666666666666667,0.15384615384615385,0.0
q4,exact_sde,14,0.23333333333333334,0.14285714285714285,0.0
q4,exact_sde,15,0.25,0.13333333333333333,0.0
q4,exact_sde,16,0.26666666666666666,0.1875,0.0
q4,exact_sde,17,0.2833333333333333,0.23529411764705882,0.0
q4,exact_sde,18,0.3,0.2222222222222222,0.0
q4,exact_sde,19,0.31666666666666665,0.2631578947368421,0.0
q4,exact_sde,20,0.3333333333333333,0.25,0.0
q4,exact_sde,21,0.35,0.23809523809523808,0.0
q4,exact_sde,22,0.36666666666666664,0.22727272727272727,0.0
q4,exact_sde,23,0.38333333333333336,0.21739130434782608,0.0
q4,exact_sde,24,0.4,0.20833333333333334,0.0
q4,exact_sde,25,0.4166666666666667,0.2,0.0
q4,exact_sde,26,0.43333333333333335,0.19230769230769232,0.0
q4,exact_sde,27,0.45,0.2222222222222222,0.0
